track_id,track_name,artist_id,artist_name_x,album_id,duration,release_date,popularity_x,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_followers,genres,popularity_y,release_year,mood_label
08WPvDEsHvTFuB9w8tC2OS,Now and Later,6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,6OnHUnhxRIZ4FB7ce9wF39,193181,2017-07-21,58,0.7809999999999999,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,780053,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,2017,4.0
0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,4Ky2PpWb26OxNabAMffyBw,237792,2015,74,0.7829999999999999,0.467,6.0,-9.474,1.0,0.0503,0.7290000000000001,0.809,0.109,0.236,90.838,894308,"['new french touch', 'tropical house']",69,2015,2.0
3VcVQmMivq2ISfKUmIuvMK,Rainbow,6ZgBJRjJsK1iOJGKGZxEUv,South Border,6bMej3xtNOTiiHLdhR4wzX,347120,2005-01-01,65,0.66,0.224,5.0,-13.425999999999998,1.0,0.0307,0.425,2.02e-06,0.101,0.382,88.01100000000002,759198,['opm'],59,2005,2.0
4ZgZPrrSLi4sIiFkiahuxq,Hanap-Hanap,24fEOzlKhgSNLIcy9NdmwH,James Reid,69NVydj9miAmq0cDe4nMnt,201653,2015-02-14,1,0.7140000000000001,0.695,9.0,-4.614,1.0,0.0396,0.424,0.0,0.306,0.669,94.99,297996,"['deep neofolk', 'opm', 'pinoy r&b', 'tagalog rap']",54,2015,4.0
2S80c51YXgJQhkhX603fMA,Prinsesa,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1Im5BTDBghgM0NG75SaiC3,267293,2007-01-15,59,0.853,0.455,1.0,-9.589,1.0,0.0372,0.305,0.00329,0.125,0.522,118.32,817630,"['opm', 'pinoy rock', 'pop rock']",54,2007,3.0
39V6cEoNFwDFRJEOKyj4OR,Let Me Be the One,4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,7xq2b0gkMRI47DCek284HB,280413,2012,52,0.5870000000000001,0.396,10.0,-8.722000000000001,1.0,0.0399,0.643,0.0,0.106,0.207,123.873,529404,['opm'],57,2012,1.0
2qqte0XT0eFFVLuNP7Qena,Paano Ba Ang Magmahal,2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,7mYRZAqHFz96uRPCi6yEUi,290246,2015-01-01,50,0.544,0.583,0.0,-6.4460000000000015,1.0,0.0314,0.509,0.0,0.0436,0.157,144.05200000000005,195975,['opm'],46,2015,1.0
1VvFtp71ibaXiHxurBlXuw,Before I Let You Go,1ZfhyWZ9byvjFKEzBSa81I,Freestyle,4VSBpjPHkZWpjr5m07AzZP,289266,1998-09-26,0,0.66,0.353,4.0,-12.108,1.0,0.0347,0.16899999999999998,0.0,0.138,0.0812,120.084,52823,[],6,1998,1.0
1A40ESJJPEEJrqjC9BUO2B,So Slow,1ZfhyWZ9byvjFKEzBSa81I,Freestyle,4VSBpjPHkZWpjr5m07AzZP,275906,1998-09-26,0,0.727,0.329,0.0,-9.09,1.0,0.0347,0.52,0.0,0.0899,0.401,106.202,52823,[],6,1998,3.0
6XmskR1cMfgys1W7dExmgi,With a Smile (feat. Kelly Badon),6ZgBJRjJsK1iOJGKGZxEUv,South Border,7tfDmiKEApFiZmT5MzIN1o,264413,2005-11-15,61,0.523,0.534,6.0,-8.942,1.0,0.0296,0.479,3.01e-05,0.111,0.508,75.988,759198,['opm'],59,2005,3.0
4r7vGTk9HCW7YDorNWoclF,Meron Nang Iba,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,4xxRoePLdITFIhrzUhmOaQ,240360,2013-06-11,31,0.69,0.526,9.0,-9.939,1.0,0.0319,0.261,0.000233,0.113,0.608,116.076,2263543,"['opm', 'pinoy rock']",64,2013,4.0
0MqkYdGBzHx7lnaFvo7doR,Para Sa Akin,0t7vWPRBcVv4xBEHPZHSWA,Sitti,0JPSXvzFg02DSytNE16MSw,186240,2006-01-25,56,0.579,0.408,3.0,-11.299,1.0,0.0419,0.916,2.55e-05,0.117,0.465,126.106,69988,['opm'],51,2006,3.0
6CiuHbascZBxfFqdixSXiW,Set You Free,5elcNQkZ6FCZA3grSOMngY,MYMP,4vZ9jbxJDvWVO18RUOCuUo,264573,2008-08-15,32,0.642,0.281,4.0,-11.478,1.0,0.0346,0.821,0.0,0.123,0.101,60.00899999999999,797786,['opm'],62,2008,1.0
135ggzbjOogZ75IQ0LQi8r,Ang Huling El Bimbo,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,6JbcJM51TZIX8nkjns3M4U,447333,1995-12-21,62,0.524,0.503,6.0,-11.79,1.0,0.0245,0.184,0.0,0.264,0.436,89.49700000000001,2302342,"['opm', 'pinoy reggae', 'pinoy rock']",64,1995,3.0
22l6ZMCgWB1wfd1GOBe3wm,Ikaw,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,18HwRqjM9HspE97kn9oUBI,284920,2014-10-30,63,0.654,0.336,10.0,-7.21,1.0,0.0307,0.575,0.0,0.0784,0.105,120.027,2086047,['opm'],60,2014,1.0
14pj36HKHd6c72njvGVPWU,Pusong Ligaw,3RpJ6OyOnaXRFRXSirgQa6,Jericho Rosales,41S3W52qwH0oEKOx9ByH5t,246666,2009-01-01,58,0.608,0.417,7.0,-10.341,1.0,0.0276,0.645,6.69e-06,0.128,0.142,127.976,86101,['opm'],47,2009,1.0
0JzwzRDkwZr8s1WRfNgUqA,Till I Met You,7DW4ijH3n36QN0RlC0n649,Angeline Quinto,0NfAzxHZ4diQArSqZMTJHc,240065,2015-01-01,63,0.452,0.476,2.0,-8.042,1.0,0.0338,0.6890000000000001,2.27e-06,0.361,0.172,139.833,466229,['opm'],59,2015,1.0
5hWHHBX801NeP6jpt9mquW,Friend of Mine,4BNWanhw4AjSXjBm9L1Jzy,Juris,54dIsKzWlMydaAO99ED8dy,210615,2016-09-14,51,0.518,0.457,11.0,-7.596,1.0,0.0271,0.649,6.84e-06,0.136,0.168,135.96200000000002,602775,['opm'],58,2016,1.0
7DpfL3u92JKKTys5w7jfY7,Starting over Again,5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,2VGSxW3eF2Ass0Qlp7g2PY,246813,2014-01-01,57,0.535,0.441,0.0,-6.481,1.0,0.0293,0.474,1.21e-06,0.108,0.256,119.706,624395,"['opm', 'papuri']",55,2014,2.0
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,6Ww3OMFzCaO33ulKh1LBFN,Hale,5www5PCOdkBpuNCanxeo6L,328533,2006-02-26,58,0.424,0.221,4.0,-9.279,1.0,0.0351,0.882,0.0,0.134,0.299,125.964,690303,"['opm', 'pinoy reggae', 'pinoy rock']",61,2006,2.0
5KTtIkH3i6sF58N3kyWVnS,Again,2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,0Fx4uFBscK3pLtuCZ7EE5Y,169183,2016-08-26,52,0.82,0.301,0.0,-9.849,1.0,0.0438,0.5429999999999999,0.0,0.0961,0.545,119.882,53648,"['opm', 'pinoy indie']",52,2016,3.0
1wv76JKLy8fgpIa4n6JuMa,This Time (Original Movie Soundtrack),24fEOzlKhgSNLIcy9NdmwH,James Reid,3QfF6wHIC96HGQ4RzbvEKN,294208,2016-04-25,0,0.552,0.491,7.0,-7.776,1.0,0.0306,0.687,0.0,0.139,0.222,126.064,297996,"['deep neofolk', 'opm', 'pinoy r&b', 'tagalog rap']",54,2016,2.0
1qoXYfWILyuN0EatImGlma,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",62WbvkXqQGvXQvw74GU3kQ,Morissette,2FDaAHJmC2h9G29zQG6mvc,258014,2015-01-01,60,0.528,0.603,6.0,-5.882999999999999,1.0,0.0296,0.21600000000000005,0.0,0.304,0.482,185.998,1026644,['opm'],55,2015,3.0
628A1ThsViFrgjqgRAy4aa,Diwata,5mNum7eUoqWS6NBo91NYHP,Abra,4Pz8kSuNnVrUbZheowq81B,277240,2013-12-01,0,0.72,0.8370000000000001,1.0,-7.2639999999999985,1.0,0.0359,0.49,0.0,0.208,0.917,92.025,23333,[],15,2013,4.0
6MrDG2mrajvQqZBavSJbP6,Sometimes Love Just Ain't Enough,0AuZVHIr5WSEBbBLZwWwWc,Charice,17kz4UZad2W3lzeYMx1fBW,267306,2013-01-01,56,0.414,0.26,10.0,-10.76,1.0,0.035,0.737,0.0,0.0828,0.17,83.652,140790,"['dance pop', 'opm', 'post-teen pop', 'viral pop']",51,2013,1.0
43jBqV3j3Xi1g6wO0bhIMd,Now and Later,6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,3fi4zQJmsXI2Hw2pl89aTh,193181,2016-10-14,59,0.7809999999999999,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,780053,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,2016,4.0
0ecAxY4uqROZWKSUaRVCK7,"Hey Crush - From ""Vince & Kath & James""",4KOFxteqSAveWCElBVijTy,Joshua Garcia,3zrmszGcMfAndeIQrW7nY3,137090,2016-12-10,34,0.7659999999999999,0.517,8.0,-6.3020000000000005,1.0,0.03,0.534,0.0,0.228,0.73,109.054,32521,[],22,2016,4.0
6c1MgHPPSxYnBCA2PbJEUN,Mahal Ko O Mahal Ako,1mcqfNCReSFxun2vIWvC28,KZ Tandingan,7bFQYXti9mI19n2bCsm8zj,219837,2017-05-23,59,0.69,0.361,5.0,-6.428,1.0,0.0376,0.61,4.55e-05,0.139,0.264,147.731,707716,['opm'],60,2017,2.0
79yCQrawsilxU56g0UifKQ,Akin Ka Na Lang,719ZCUqy59oGckcB1MzVTx,The Company,7CarNUF8F0kgsUEgOWtK0A,198480,2012-09-06,0,0.8190000000000001,0.396,8.0,-8.674,1.0,0.073,0.523,0.0,0.107,0.69,125.034,19869,[],44,2012,4.0
5zMR44ZH4KVZj4FlhTj3SE,Magbalik,4HOEnLufwAqJ2qoJPVnL01,Callalily,3tIU2WCVDgPwnG4MraWwQ6,326813,2006-07-17,63,0.404,0.556,4.0,-8.329,1.0,0.0326,0.359,4.93e-06,0.0964,0.34,159.256,1121352,"['opm', 'pinoy rock', 'tagalog rap']",55,2006,2.0
7D4rSZoga8hqJqNOVcPde1,If We Fall in Love,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,20RBKgpWWNoA2xo7CRZfO5,246680,2007-01-19,59,0.568,0.382,5.0,-9.906,1.0,0.0285,0.782,1.03e-05,0.0945,0.3,140.085,2086047,['opm'],60,2007,2.0
7gWKGNeHjIDUkNreiYYNdm,Oo,3wbCeEPAW6po7J46netxMT,Up Dharma Down,2XZd988bbXkKBzaVklQbcb,239000,2006-01-01,60,0.583,0.626,11.0,-7.485,0.0,0.153,0.465,4.16e-06,0.204,0.6,155.13,776570,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",57,2006,4.0
6bMSUhAmaAGTb5RTTuzWE3,Simpleng Tao,7HJDRQAfEcFiARVehhM6qD,Gloc 9,4OS6H3C1zimI6QPXA9MXvG,244600,2003-09-01,66,0.753,0.6859999999999999,1.0,-5.994,1.0,0.0409,0.18,0.0153,0.0472,0.962,88.009,908729,"['opm', 'pinoy hip hop', 'pinoy trap', 'tagalog rap']",63,2003,4.0
1Rt8bwO4rqGvgA1UWM1QXx,New York And Back,2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,75T0cEfWxbdMZ42zk8EGUc,173277,2017-01-13,52,0.794,0.354,7.0,-11.632,1.0,0.0306,0.644,3.68e-06,0.127,0.426,106.03,53648,"['opm', 'pinoy indie']",52,2017,3.0
4g8lRiznlad8Vy4HR1J3B9,A Love To Last A Lifetime,4BNWanhw4AjSXjBm9L1Jzy,Juris,3iYp6l0qLDkLOpAxuTs2Jb,165067,2017-01-12,55,0.64,0.438,9.0,-7.431,1.0,0.0278,0.157,0.00134,0.14400000000000002,0.449,95.913,602775,['opm'],58,2017,3.0
3nQtkvFMNkRwxjKVAlGPcG,Torete,2kZThDGZcHl4klYYFk0v8n,Moonstar88,2CZhWHzzLkNUtfONjbKOy1,264202,2001,62,0.359,0.399,2.0,-8.174,1.0,0.0269,0.219,0.0,0.0738,0.311,88.235,740878,"['opm', 'pinoy rock', 'pop rock']",55,2001,2.0
5fJHoiDbRO8f7wkGL0kotY,"Pag-Ibig - From ""Dangwa""",1tXFYQZSAswt4JLB42lpye,Sponge Cola,6ChgAzrMYdAVVm2fY2szVd,154709,2015,59,0.617,0.531,7.0,-10.1,1.0,0.0284,0.211,0.0,0.0874,0.647,91.068,927645,"['opm', 'pinoy reggae', 'pinoy rock', 'tagalog rap']",59,2015,4.0
1C3wg8sCIPqpNQx0wAL4DC,The Way You Look at Me,4U78sK2D3zASSB6oSR38GQ,Christian Bautista,0qEwvzXNVsPFK7eftFej7Q,207786,2004-03-25,64,0.485,0.29,1.0,-8.443999999999999,1.0,0.0321,0.8170000000000001,0.0,0.111,0.333,134.168,400728,"['dance pop', 'opm']",57,2004,2.0
3U7TJUjNz7pgPSfgeGQjsP,Forevermore,4BNWanhw4AjSXjBm9L1Jzy,Juris,7nEylzolYuExnVXy0TCPie,294716,2012-01-01,64,0.276,0.258,7.0,-10.434,1.0,0.041,0.898,0.0,0.155,0.3,74.69800000000002,602775,['opm'],58,2012,2.0
1F9SIR4geHCMuZcdkRzvPz,Jeepney,1tXFYQZSAswt4JLB42lpye,Sponge Cola,4Jfm8pzDGoeDqWKf6Q5qO6,322933,2013,60,0.446,0.7390000000000001,2.0,-5.803,1.0,0.0367,0.449,0.0,0.52,0.27,85.344,927645,"['opm', 'pinoy reggae', 'pinoy rock', 'tagalog rap']",59,2013,2.0
4OjORl39ULsmkJHOPbOOPJ,You,7LVPSD4kabI5LiXIVPI8tn,Jona,3LPjvWtdccevwB0iRcdPov,266560,2017-02-27,49,0.319,0.411,9.0,-7.171,1.0,0.0321,0.28800000000000003,0.0,0.0914,0.142,138.997,108086,['opm'],48,2017,1.0
60LTEqwQF7J0mO093FPRdc,Does She Know,1DZGAZcaTA32eLJELEsjXY,Kiana V,0JxHUM5fNfidbMcevMDDpn,231578,2017-02-10,63,0.746,0.644,1.0,-7.497999999999998,1.0,0.209,0.154,0.0,0.0923,0.6679999999999999,114.113,38090,['pinoy indie'],48,2017,4.0
66l54YRkk0mU2ECTdxJGqS,Bakit Pa Ba,3z0IVhtuFvt9VYUZGT98PU,Jay R,0upzjL3KMPH1JZtlFOZt4K,283520,2007-01-23,41,0.506,0.388,5.0,-7.459,1.0,0.0275,0.728,0.0,0.149,0.17600000000000002,117.536,126749,['opm'],48,2007,1.0
